"""Find your perfect match at every celebration""","""Encuentra tu pareja perfecta en cada celebración"""
"""I'm Attending""","""Voy a asistir"""
"""I'm Hosting""","""Soy el anfitrión"""
"""Select""","""Seleccionar"""
"""Cancel""","""Cancelar"""
"""Hide""","""Ocultar"""
"""Unhide""","""Mostrar"""
"""Show Active""","""Mostrar activo"""
"""Show Hidden""","""Mostrar oculto"""
"""Sort by Date""","""Ordenar por fecha"""
"""Sort by Name""","""Ordenar por nombre"""
"""Sort by Status""","""Ordenar por estado"""
"""All Events""","""Todos los eventos"""
"""Active Only""","""Solo activo"""
"""Closed Only""","""Solo cerrado"""
"""Draft""","""Borrador"""
"""Active""","""Activo"""
"""Closed""","""Cerrado"""
"""FREE""","""GRATIS"""
"""PREMIUM""","""PREMIUM"""
"""View Dashboard""","""Ver panel"""
"""Leave Event""","""Dejar evento"""
"""Show Event""","""Evento de espectáculo"""
"""Hide Event""","""Ocultar evento"""
"""Create Event""","""Crear evento"""
"""Join Event""","""Unirse al evento"""
"""No events yet""","""Aún no hay eventos"""
"""You haven't joined any weddings yet!""","""¡Todavía no te has unido a ninguna boda!"""
"""Get started by joining a wedding or creating your own matchmaking event.""","""Comience uniéndose a una boda o creando su propio evento de emparejamiento""."
"""You're not hosting any events yet!""","""¡Todavía no estás organizando ningún evento!"""
"""Create your first wedding matchmaking event.""","""Crea tu primer evento de emparejamiento de bodas""."
,
Toast Messages:,
,
"""Failed to load events""","""No se pudieron cargar eventos"""
"""You've left the event""","""Has abandonado el evento"""
"""Failed to leave event""","""No se pudo abandonar el evento"""
"""Hidden X event(s)""","""Evento(s) X(s) oculto(s)"""
"""Failed to hide events""","""No se pudieron ocultar los eventos"""
"""Unhidden X event(s)""","""Evento(s) X(s) no oculto(s)"""
"""Failed to unhide events""","""No se pudieron mostrar los eventos"""
"""Event shown""","""Evento mostrado"""
"""Failed to show event""","""No se pudo mostrar el evento"""
"""Event hidden""","""Evento oculto"""
❤️ MATCHMAKING PAGE (src/pages/Matchmaking.tsx),❤️ PÁGINA DE EMPAREJAMIENTO (src/pages/Matchmaking.tsx)
"""Loading profiles...""","""Cargando perfiles..."""
"""Select Wedding""","""Boda selecta"""
"""Choose which wedding to match at""","""Elige en qué boda combinar"""
"""Event is closed""","""El evento está cerrado"""
"""This event has ended. Matchmaking is no longer available.""","""Este evento ha terminado. El emparejamiento ya no está disponible""."
"""No more profiles""","""No más perfiles"""
"""You've seen everyone at this event! Check back later for new guests.""","""¡Has visto a todos en este evento! Vuelve más tarde para ver nuevos huéspedes""."
"""Second Chance""","""Segunda oportunidad"""
"""You previously passed on this person. They're back for another look!""","""Anteriormente pasaste a esta persona. ¡Están de vuelta para otra mirada!"""
"""Undo""","""Deshacer"""
"""View Profile""","""Ver perfil"""
"""About""","""Acerca de"""
"""Interests""","""Intereses"""
"""Liked!""","""¡Me gustó!"""
"""Passed""","""Aprobado"""
"""You've seen everyone! Check back later.""","""¡Has visto a todos! Vuelve más tarde""."
"""New guests may join this event soon.""","""Nuevos invitados pueden unirse a este evento pronto""."
"""Please complete your profile with gender preferences""","""Complete su perfil con preferencias de género"""
"""Failed to load profiles""","""No se pudieron cargar los perfiles"""
"""Failed to load events""","""No se pudieron cargar eventos"""
"""Invalid swipe data""","""Datos de deslizamiento no válidos"""
"""Failed to save swipe""","""No se pudo guardar el deslizamiento"""
"""Failed to undo""","""No se pudo deshacer"""
💬 CHATS PAGE (src/pages/Chats.tsx),💬 PÁGINA DE CHATS (src/pages/Chats.tsx)
"""Chats""","""Chats"""
"""Your conversations and connections""","""Tus conversaciones y conexiones"""
"""Matches""","""Fósforos"""
"""Hosts""","""Anfitriones"""
"""Say hi! 👋""","""¡Saluda! 👋"""
"""Just now""","""Justo ahora"""
"""Xm ago""","""Hace Xm"""
"""Xh ago""","""Hace Xh"""
"""Xd ago""","""Xd ago"""
"""No matches yet""","""Todavía no hay partidos"""
"""Start swiping to find your perfect match!""","""¡Comienza a deslizar para encontrar tu pareja perfecta!"""
"""No host messages yet""","""Aún no hay mensajes del anfitrión"""
"""Event hosts can send you messages directly""","""Los anfitriones de eventos pueden enviarle mensajes directamente"""
"""Report & Unmatch""","""Reportar y desemparejar"""
"""Unmatch""","""Inigualable"""
"""Failed to load matches""","""No se pudieron cargar las coincidencias"""
💬 CHAT THREAD (src/pages/ChatThread.tsx),💬 HILO DE CHAT (src/pages/ChatThread.tsx)
"""Loading messages...""","""Cargando mensajes..."""
"""No messages yet. Say hi! 👋""","""Todavía no hay mensajes. ¡Saludar! 👋"""
"""Type a message...""","""Escribe un mensaje..."""
"""Unmatch X?""","""¿Desigual X?"""
"""This will remove your match with X. You won't be able to message each other anymore. This action cannot be undone.""","""Esto eliminará tu coincidencia con X. Ya no podrán enviarse mensajes. Esta acción no se puede deshacer""."
"""Cancel""","""Cancelar"""
"""Unmatch""","""Inigualable"""
"""Invalid chat""","""Chat no válido"""
"""Failed to load messages""","""No se pudieron cargar los mensajes"""
"""Failed to send message""","""No se pudo enviar el mensaje"""
"""Unmatched successfully""","""Inigualable con éxito"""
"""Failed to unmatch""","""No se pudo deshacer"""
"""Message cannot be empty""","""El mensaje no puede estar vacío"""
"""Message too long (max 5000 characters)""","""Mensaje demasiado largo (máximo 5000 caracteres)"""
👤 PROFILE PAGE (src/pages/Profile.tsx),👤 PÁGINA DE PERFIL (src/pages/Profile.tsx)
"""X's Profile""","""Perfil de X"""
"""Your dating profile for all weddings""","""Tu perfil de citas para todas las bodas"""
"""Preview your profile""","""Vista previa de tu perfil"""
"""Settings""","""Configuración"""
"""Photos""","""Fotos"""
"""Edit""","""Editar"""
"""Add Photo""","""Agregar foto"""
"""Basic Info""","""Información básica"""
"""Name & Age""","""Nombre y edad"""
